"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US13025960200","Census Tract 9602, Brantley County, Georgia","622","5144",
"1400000US13025960300","Census Tract 9603, Brantley County, Georgia","649","6228",
"1400000US13027960200","Census Tract 9602, Brooks County, Georgia","370","1824",
"1400000US13027960300","Census Tract 9603, Brooks County, Georgia","551","5631",
"1400000US13027960400","Census Tract 9604, Brooks County, Georgia","511","3887",
"1400000US13027960500","Census Tract 9605, Brooks County, Georgia","524","2454",
"1400000US13027960600","Census Tract 9606, Brooks County, Georgia","429","2542",
"1400000US13029920101","Census Tract 9201.01, Bryan County, Georgia","407","4010",
"1400000US13029920102","Census Tract 9201.02, Bryan County, Georgia","376","5053",
"1400000US13029920301","Census Tract 9203.01, Bryan County, Georgia","390","1993",
"1400000US13029920303","Census Tract 9203.03, Bryan County, Georgia","460","4554",
"1400000US13029920305","Census Tract 9203.05, Bryan County, Georgia","353","3916",
"1400000US13029920306","Census Tract 9203.06, Bryan County, Georgia","516","9513",
"1400000US13029980000","Census Tract 9800, Bryan County, Georgia","132","0",
"1400000US13031110100","Census Tract 1101, Bulloch County, Georgia","423","3656",
"1400000US13031110200","Census Tract 1102, Bulloch County, Georgia","713","7910",
"1400000US13031110300","Census Tract 1103, Bulloch County, Georgia","714","7519",
"1400000US13031110401","Census Tract 1104.01, Bulloch County, Georgia","458","3751",
"1400000US13031110403","Census Tract 1104.03, Bulloch County, Georgia","852","5475",
"1400000US13031110404","Census Tract 1104.04, Bulloch County, Georgia","1535","7421",
"1400000US13031110500","Census Tract 1105, Bulloch County, Georgia","579","4669",
"1400000US13031110601","Census Tract 1106.01, Bulloch County, Georgia","594","5921",
"1400000US13031110602","Census Tract 1106.02, Bulloch County, Georgia","446","4055",
"1400000US13031110700","Census Tract 1107, Bulloch County, Georgia","583","7833",
"1400000US13031110800","Census Tract 1108, Bulloch County, Georgia","307","2212",
"1400000US13031110900","Census Tract 1109, Bulloch County, Georgia","545","6876",
"1400000US13033950100","Census Tract 9501, Burke County, Georgia","598","5648",
"1400000US13033950200","Census Tract 9502, Burke County, Georgia","373","2695",
"1400000US13033950400","Census Tract 9504, Burke County, Georgia","485","4976",
"1400000US13033950500","Census Tract 9505, Burke County, Georgia","674","5440",
"1400000US13033950700","Census Tract 9507, Burke County, Georgia","387","2685",
"1400000US13033950900","Census Tract 9509, Burke County, Georgia","225","1639",
"1400000US13035150100","Census Tract 1501, Butts County, Georgia","446","7687",
"1400000US13035150200","Census Tract 1502, Butts County, Georgia","445","8397",
"1400000US13035150300","Census Tract 1503, Butts County, Georgia","517","7317",
"1400000US13037950100","Census Tract 9501, Calhoun County, Georgia","282","3239",
"1400000US13037950200","Census Tract 9502, Calhoun County, Georgia","282","3249",
"1400000US13039010100","Census Tract 101, Camden County, Georgia","412","3265",
"1400000US13039010200","Census Tract 102, Camden County, Georgia","463","5292",
"1400000US13039010301","Census Tract 103.01, Camden County, Georgia","650","7792",
"1400000US13039010302","Census Tract 103.02, Camden County, Georgia","446","4662",
"1400000US13039010401","Census Tract 104.01, Camden County, Georgia","596","9720",
"1400000US13039010402","Census Tract 104.02, Camden County, Georgia","541","4615",
"1400000US13039010403","Census Tract 104.03, Camden County, Georgia","427","3836",
"1400000US13039010500","Census Tract 105, Camden County, Georgia","363","2273",
"1400000US13039010601","Census Tract 106.01, Camden County, Georgia","562","7069",
"1400000US13039010602","Census Tract 106.02, Camden County, Georgia","219","769",
"1400000US13039990000","Census Tract 9900, Camden County, Georgia","132","0",
"1400000US13043950100","Census Tract 9501, Candler County, Georgia","472","4944",
"1400000US13043950200","Census Tract 9502, Candler County, Georgia","488","3107",
"1400000US13043950300","Census Tract 9503, Candler County, Georgia","460","2664",
"1400000US13045910101","Census Tract 9101.01, Carroll County, Georgia","342","6002",
"1400000US13045910103","Census Tract 9101.03, Carroll County, Georgia","468","4660",
"1400000US13045910104","Census Tract 9101.04, Carroll County, Georgia","729","8660",
"1400000US13045910200","Census Tract 9102, Carroll County, Georgia","659","11147",
"1400000US13045910300","Census Tract 9103, Carroll County, Georgia","646","6485",
"1400000US13045910400","Census Tract 9104, Carroll County, Georgia","309","3300",
"1400000US13045910501","Census Tract 9105.01, Carroll County, Georgia","681","7686",
"1400000US13045910502","Census Tract 9105.02, Carroll County, Georgia","536","3443",
"1400000US13045910600","Census Tract 9106, Carroll County, Georgia","611","5406",
"1400000US13045910701","Census Tract 9107.01, Carroll County, Georgia","648","9304",
"1400000US13045910702","Census Tract 9107.02, Carroll County, Georgia","471","6756",
"1400000US13045910703","Census Tract 9107.03, Carroll County, Georgia","621","8566",
"1400000US13045910800","Census Tract 9108, Carroll County, Georgia","329","4099",
"1400000US13045910900","Census Tract 9109, Carroll County, Georgia","483","3781",
"1400000US13045911000","Census Tract 9110, Carroll County, Georgia","650","6436",
"1400000US13045911100","Census Tract 9111, Carroll County, Georgia","742","7484",
"1400000US13045911200","Census Tract 9112, Carroll County, Georgia","574","6012",
"1400000US13047030100","Census Tract 301, Catoosa County, Georgia","682","6929",
"1400000US13047030201","Census Tract 302.01, Catoosa County, Georgia","459","4482",
"1400000US13047030202","Census Tract 302.02, Catoosa County, Georgia","449","6411",
"1400000US13047030301","Census Tract 303.01, Catoosa County, Georgia","456","6966",
"1400000US13047030303","Census Tract 303.03, Catoosa County, Georgia","404","3842",
"1400000US13047030304","Census Tract 303.04, Catoosa County, Georgia","348","3436",
"1400000US13047030401","Census Tract 304.01, Catoosa County, Georgia","515","7301",
"1400000US13047030402","Census Tract 304.02, Catoosa County, Georgia","520","5991",
"1400000US13047030500","Census Tract 305, Catoosa County, Georgia","405","5407",
"1400000US13047030600","Census Tract 306, Catoosa County, Georgia","496","5265",
"1400000US13047030700","Census Tract 307, Catoosa County, Georgia","400","6921",
"1400000US13049010100","Census Tract 101, Charlton County, Georgia","402","9718",
"1400000US13049010200","Census Tract 102, Charlton County, Georgia","402","2592",
"1400000US13051000100","Census Tract 1, Chatham County, Georgia","480","1957",
"1400000US13051000300","Census Tract 3, Chatham County, Georgia","361","1805",
"1400000US13051000601","Census Tract 6.01, Chatham County, Georgia","556","2778",
"1400000US13051000900","Census Tract 9, Chatham County, Georgia","171","885",
"1400000US13051001100","Census Tract 11, Chatham County, Georgia","277","2116",
"1400000US13051001200","Census Tract 12, Chatham County, Georgia","467","1924",
"1400000US13051001500","Census Tract 15, Chatham County, Georgia","156","937",
"1400000US13051002000","Census Tract 20, Chatham County, Georgia","270","1785",
"1400000US13051002100","Census Tract 21, Chatham County, Georgia","467","2324",
"1400000US13051002200","Census Tract 22, Chatham County, Georgia","549","5379",
"1400000US13051002300","Census Tract 23, Chatham County, Georgia","354","1863",
"1400000US13051002600","Census Tract 26, Chatham County, Georgia","213","1439",
