"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US13121010518","Census Tract 105.18, Fulton County, Georgia","2905","801","157","141","2607","771","29","47","28","45","0","14","26","47","58","85","0","14","58","85",
"1400000US13121010519","Census Tract 105.19, Fulton County, Georgia","4535","1478","511","248","3599","1524","0","14","0","14","0","14","0","14","425","479","328","457","97","144",
"1400000US13121010520","Census Tract 105.20, Fulton County, Georgia","6263","2179","370","205","5811","2152","0","20","0","20","0","20","0","20","82","106","25","40","57","95",
"1400000US13121010521","Census Tract 105.21, Fulton County, Georgia","1736","492","111","151","1610","478","0","14","0","14","0","14","0","14","15","27","0","14","15","27",
"1400000US13121010522","Census Tract 105.22, Fulton County, Georgia","5974","1364","354","339","5179","1343","0","20","306","369","0","20","46","68","89","96","0","20","89","96",
"1400000US13121010523","Census Tract 105.23, Fulton County, Georgia","1103","321","95","77","795","300","0","14","0","14","0","14","162","137","51","46","16","27","35","40",
"1400000US13121010524","Census Tract 105.24, Fulton County, Georgia","2711","719","38","45","2584","731","0","14","0","14","0","14","0","14","89","104","0","14","89","104",
"1400000US13121010525","Census Tract 105.25, Fulton County, Georgia","2614","539","0","14","2586","526","6","9","0","14","0","14","0","14","22","43","22","43","0","14",
"1400000US13121010526","Census Tract 105.26, Fulton County, Georgia","5230","1094","71","147","4341","987","0","20","0","20","0","20","484","582","334","563","334","563","0","20",
"1400000US13121010527","Census Tract 105.27, Fulton County, Georgia","5296","1014","688","174","4318","1022","0","20","0","20","0","20","215","351","75","89","49","79","26","47",
