"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1400000US13035150300","Census Tract 1503, Butts County, Georgia","42533","6915",
"1400000US13037950100","Census Tract 9501, Calhoun County, Georgia","36250","8389",
"1400000US13037950200","Census Tract 9502, Calhoun County, Georgia","22043","5089",
"1400000US13039010100","Census Tract 101, Camden County, Georgia","48869","8721",
"1400000US13039010200","Census Tract 102, Camden County, Georgia","53086","5033",
"1400000US13039010301","Census Tract 103.01, Camden County, Georgia","47654","5170",
"1400000US13039010302","Census Tract 103.02, Camden County, Georgia","51028","4774",
"1400000US13039010401","Census Tract 104.01, Camden County, Georgia","56709","6466",
"1400000US13039010402","Census Tract 104.02, Camden County, Georgia","74093","1735",
"1400000US13039010403","Census Tract 104.03, Camden County, Georgia","73704","10088",
"1400000US13039010500","Census Tract 105, Camden County, Georgia","37614","7028",
"1400000US13039010601","Census Tract 106.01, Camden County, Georgia","41587","9579",
"1400000US13039010602","Census Tract 106.02, Camden County, Georgia","59219","20139",
"1400000US13039990000","Census Tract 9900, Camden County, Georgia","-","**",
"1400000US13043950100","Census Tract 9501, Candler County, Georgia","26080","3670",
"1400000US13043950200","Census Tract 9502, Candler County, Georgia","32397","6185",
"1400000US13043950300","Census Tract 9503, Candler County, Georgia","33846","7435",
"1400000US13045910101","Census Tract 9101.01, Carroll County, Georgia","36544","9039",
"1400000US13045910103","Census Tract 9101.03, Carroll County, Georgia","54722","6752",
"1400000US13045910104","Census Tract 9101.04, Carroll County, Georgia","55964","4543",
"1400000US13045910200","Census Tract 9102, Carroll County, Georgia","43365","8936",
"1400000US13045910300","Census Tract 9103, Carroll County, Georgia","38373","8109",
"1400000US13045910400","Census Tract 9104, Carroll County, Georgia","39623","7434",
"1400000US13045910501","Census Tract 9105.01, Carroll County, Georgia","33213","4524",
"1400000US13045910502","Census Tract 9105.02, Carroll County, Georgia","24750","3465",
"1400000US13045910600","Census Tract 9106, Carroll County, Georgia","47107","15807",
"1400000US13045910701","Census Tract 9107.01, Carroll County, Georgia","44295","3613",
"1400000US13045910702","Census Tract 9107.02, Carroll County, Georgia","61114","5921",
"1400000US13045910703","Census Tract 9107.03, Carroll County, Georgia","41224","8360",
"1400000US13045910800","Census Tract 9108, Carroll County, Georgia","48986","5843",
"1400000US13045910900","Census Tract 9109, Carroll County, Georgia","52212","7391",
"1400000US13045911000","Census Tract 9110, Carroll County, Georgia","43231","5784",
"1400000US13045911100","Census Tract 9111, Carroll County, Georgia","40670","5897",
"1400000US13045911200","Census Tract 9112, Carroll County, Georgia","39042","11267",
"1400000US13047030100","Census Tract 301, Catoosa County, Georgia","48638","7573",
"1400000US13047030201","Census Tract 302.01, Catoosa County, Georgia","48523","9614",
"1400000US13047030202","Census Tract 302.02, Catoosa County, Georgia","73476","5526",
"1400000US13047030301","Census Tract 303.01, Catoosa County, Georgia","57967","5915",
"1400000US13047030303","Census Tract 303.03, Catoosa County, Georgia","51591","8024",
"1400000US13047030304","Census Tract 303.04, Catoosa County, Georgia","63714","14038",
"1400000US13047030401","Census Tract 304.01, Catoosa County, Georgia","62417","7507",
"1400000US13047030402","Census Tract 304.02, Catoosa County, Georgia","50357","3192",
"1400000US13047030500","Census Tract 305, Catoosa County, Georgia","38008","5933",
"1400000US13047030600","Census Tract 306, Catoosa County, Georgia","34695","4513",
"1400000US13047030700","Census Tract 307, Catoosa County, Georgia","45542","13643",
"1400000US13049010100","Census Tract 101, Charlton County, Georgia","43712","5440",
"1400000US13049010200","Census Tract 102, Charlton County, Georgia","38984","14999",
"1400000US13051000100","Census Tract 1, Chatham County, Georgia","4357","2673",
"1400000US13051000300","Census Tract 3, Chatham County, Georgia","55058","8839",
"1400000US13051000601","Census Tract 6.01, Chatham County, Georgia","20363","3130",
"1400000US13051000900","Census Tract 9, Chatham County, Georgia","43182","7931",
"1400000US13051001100","Census Tract 11, Chatham County, Georgia","25313","10838",
"1400000US13051001200","Census Tract 12, Chatham County, Georgia","11993","4515",
"1400000US13051001500","Census Tract 15, Chatham County, Georgia","17083","5643",
"1400000US13051002000","Census Tract 20, Chatham County, Georgia","26613","4373",
"1400000US13051002100","Census Tract 21, Chatham County, Georgia","30280","2210",
"1400000US13051002200","Census Tract 22, Chatham County, Georgia","29006","5753",
"1400000US13051002300","Census Tract 23, Chatham County, Georgia","27813","7657",
"1400000US13051002600","Census Tract 26, Chatham County, Georgia","33722","3749",
"1400000US13051002700","Census Tract 27, Chatham County, Georgia","24984","4619",
"1400000US13051002800","Census Tract 28, Chatham County, Georgia","20699","2839",
"1400000US13051002900","Census Tract 29, Chatham County, Georgia","78229","12884",
"1400000US13051003000","Census Tract 30, Chatham County, Georgia","64600","7354",
"1400000US13051003301","Census Tract 33.01, Chatham County, Georgia","23904","1973",
"1400000US13051003302","Census Tract 33.02, Chatham County, Georgia","33984","3792",
"1400000US13051003400","Census Tract 34, Chatham County, Georgia","50205","10424",
"1400000US13051003501","Census Tract 35.01, Chatham County, Georgia","20587","3146",
"1400000US13051003502","Census Tract 35.02, Chatham County, Georgia","40122","12088",
"1400000US13051003601","Census Tract 36.01, Chatham County, Georgia","32065","10848",
"1400000US13051003602","Census Tract 36.02, Chatham County, Georgia","35181","6025",
"1400000US13051003700","Census Tract 37, Chatham County, Georgia","36094","6434",
"1400000US13051003800","Census Tract 38, Chatham County, Georgia","34250","7456",
"1400000US13051003900","Census Tract 39, Chatham County, Georgia","38218","5125",
"1400000US13051004001","Census Tract 40.01, Chatham County, Georgia","44653","5392",
"1400000US13051004002","Census Tract 40.02, Chatham County, Georgia","34167","6354",
"1400000US13051004100","Census Tract 41, Chatham County, Georgia","52639","7449",
"1400000US13051004207","Census Tract 42.07, Chatham County, Georgia","29085","6629",
"1400000US13051004208","Census Tract 42.08, Chatham County, Georgia","38718","7014",
"1400000US13051004209","Census Tract 42.09, Chatham County, Georgia","36011","6562",
"1400000US13051004210","Census Tract 42.10, Chatham County, Georgia","36945","3787",
"1400000US13051004211","Census Tract 42.11, Chatham County, Georgia","50480","2362",
"1400000US13051004212","Census Tract 42.12, Chatham County, Georgia","50990","6295",
"1400000US13051004300","Census Tract 43, Chatham County, Georgia","42333","3584",
"1400000US13051004400","Census Tract 44, Chatham County, Georgia","24484","2637",
"1400000US13051004500","Census Tract 45, Chatham County, Georgia","31940","7150",
"1400000US13051010101","Census Tract 101.01, Chatham County, Georgia","22656","8071",
"1400000US13051010102","Census Tract 101.02, Chatham County, Georgia","45375","8672",
"1400000US13051010200","Census Tract 102, Chatham County, Georgia","52955","9233",
"1400000US13051010501","Census Tract 105.01, Chatham County, Georgia","29114","6207",
"1400000US13051010502","Census Tract 105.02, Chatham County, Georgia","32363","9838",
"1400000US13051010601","Census Tract 106.01, Chatham County, Georgia","34592","9264",
"1400000US13051010603","Census Tract 106.03, Chatham County, Georgia","40840","4887",
"1400000US13051010605","Census Tract 106.05, Chatham County, Georgia","-","**",
"1400000US13051010700","Census Tract 107, Chatham County, Georgia","71685","9777",
"1400000US13051010801","Census Tract 108.01, Chatham County, Georgia","48578","7423",
"1400000US13051010802","Census Tract 108.02, Chatham County, Georgia","66691","14238",
"1400000US13051010803","Census Tract 108.03, Chatham County, Georgia","54952","5221",
"1400000US13051010806","Census Tract 108.06, Chatham County, Georgia","45615","10681",
"1400000US13051010807","Census Tract 108.07, Chatham County, Georgia","65167","11170",
