"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US13057090300","Census Tract 903, Cherokee County, Georgia","6983","77484",
"1400000US13057090400","Census Tract 904, Cherokee County, Georgia","3636","34754",
"1400000US13057090501","Census Tract 905.01, Cherokee County, Georgia","7652","65823",
"1400000US13057090502","Census Tract 905.02, Cherokee County, Georgia","6304","83485",
"1400000US13057090601","Census Tract 906.01, Cherokee County, Georgia","3602","49054",
"1400000US13057090602","Census Tract 906.02, Cherokee County, Georgia","7863","56710",
"1400000US13057090701","Census Tract 907.01, Cherokee County, Georgia","4855","75203",
"1400000US13057090702","Census Tract 907.02, Cherokee County, Georgia","7199","60613",
"1400000US13057090802","Census Tract 908.02, Cherokee County, Georgia","9437","105021",
"1400000US13057090803","Census Tract 908.03, Cherokee County, Georgia","14579","87486",
"1400000US13057090804","Census Tract 908.04, Cherokee County, Georgia","6044","78222",
"1400000US13057090901","Census Tract 909.01, Cherokee County, Georgia","4948","80141",
"1400000US13057090902","Census Tract 909.02, Cherokee County, Georgia","3487","69645",
"1400000US13057090904","Census Tract 909.04, Cherokee County, Georgia","4696","59199",
"1400000US13057090905","Census Tract 909.05, Cherokee County, Georgia","10822","47736",
"1400000US13057091001","Census Tract 910.01, Cherokee County, Georgia","3393","46814",
"1400000US13057091003","Census Tract 910.03, Cherokee County, Georgia","3838","51813",
"1400000US13057091005","Census Tract 910.05, Cherokee County, Georgia","5521","56063",
"1400000US13057091006","Census Tract 910.06, Cherokee County, Georgia","10992","98484",
"1400000US13057091007","Census Tract 910.07, Cherokee County, Georgia","11179","92500",
"1400000US13057091008","Census Tract 910.08, Cherokee County, Georgia","3043","90242",
"1400000US13057091101","Census Tract 911.01, Cherokee County, Georgia","9531","67396",
"1400000US13057091102","Census Tract 911.02, Cherokee County, Georgia","4898","55691",
"1400000US13057091103","Census Tract 911.03, Cherokee County, Georgia","7986","65820",
"1400000US13059000100","Census Tract 1, Clarke County, Georgia","5600","11510",
"1400000US13059000401","Census Tract 4.01, Clarke County, Georgia","3927","16630",
"1400000US13059000402","Census Tract 4.02, Clarke County, Georgia","7151","10625",
"1400000US13059000600","Census Tract 6, Clarke County, Georgia","4869","16727",
"1400000US13059000900","Census Tract 9, Clarke County, Georgia","2749","17118",
"1400000US13059001200","Census Tract 12, Clarke County, Georgia","18269","50795",
"1400000US13059001700","Census Tract 17, Clarke County, Georgia","9655","57583",
"1400000US13059001800","Census Tract 18, Clarke County, Georgia","4262","49803",
"1400000US13059001900","Census Tract 19, Clarke County, Georgia","5453","22335",
"1400000US13059002000","Census Tract 20, Clarke County, Georgia","5426","42577",
"1400000US13059002100","Census Tract 21, Clarke County, Georgia","6825","17350",
"1400000US13059002200","Census Tract 22, Clarke County, Georgia","6139","23015",
"1400000US13059030100","Census Tract 301, Clarke County, Georgia","3639","17480",
"1400000US13059030200","Census Tract 302, Clarke County, Georgia","1475","21094",
"1400000US13059130300","Census Tract 1303, Clarke County, Georgia","10294","45365",
"1400000US13059130400","Census Tract 1304, Clarke County, Georgia","4970","47406",
"1400000US13059130500","Census Tract 1305, Clarke County, Georgia","17257","64535",
"1400000US13059130600","Census Tract 1306, Clarke County, Georgia","5066","39807",
"1400000US13059130700","Census Tract 1307, Clarke County, Georgia","5976","51588",
"1400000US13059140300","Census Tract 1403, Clarke County, Georgia","5964","34909",
"1400000US13059140400","Census Tract 1404, Clarke County, Georgia","14277","23813",
"1400000US13059140500","Census Tract 1405, Clarke County, Georgia","9279","28894",
"1400000US13059140600","Census Tract 1406, Clarke County, Georgia","3787","41968",
"1400000US13059150300","Census Tract 1503, Clarke County, Georgia","22091","51979",
"1400000US13059150400","Census Tract 1504, Clarke County, Georgia","5277","15625",
"1400000US13059150500","Census Tract 1505, Clarke County, Georgia","5161","18102",
"1400000US13059150600","Census Tract 1506, Clarke County, Georgia","9353","31063",
"1400000US13059150700","Census Tract 1507, Clarke County, Georgia","10581","40769",
"1400000US13059150800","Census Tract 1508, Clarke County, Georgia","8215","56287",
"1400000US13059150900","Census Tract 1509, Clarke County, Georgia","11397","54420",
"1400000US13061960300","Census Tract 9603, Clay County, Georgia","3802","26250",
"1400000US13063040202","Census Tract 402.02, Clayton County, Georgia","7515","30946",
"1400000US13063040203","Census Tract 402.03, Clayton County, Georgia","2644","32289",
"1400000US13063040204","Census Tract 402.04, Clayton County, Georgia","6170","40287",
"1400000US13063040302","Census Tract 403.02, Clayton County, Georgia","4243","31182",
"1400000US13063040303","Census Tract 403.03, Clayton County, Georgia","5746","33782",
"1400000US13063040306","Census Tract 403.06, Clayton County, Georgia","6568","25038",
"1400000US13063040307","Census Tract 403.07, Clayton County, Georgia","7176","36763",
"1400000US13063040308","Census Tract 403.08, Clayton County, Georgia","3230","29921",
"1400000US13063040407","Census Tract 404.07, Clayton County, Georgia","4816","39913",
"1400000US13063040408","Census Tract 404.08, Clayton County, Georgia","4854","40251",
"1400000US13063040409","Census Tract 404.09, Clayton County, Georgia","6177","53980",
"1400000US13063040410","Census Tract 404.10, Clayton County, Georgia","2947","41120",
"1400000US13063040411","Census Tract 404.11, Clayton County, Georgia","6558","60777",
"1400000US13063040412","Census Tract 404.12, Clayton County, Georgia","6889","47243",
"1400000US13063040413","Census Tract 404.13, Clayton County, Georgia","5571","47219",
"1400000US13063040414","Census Tract 404.14, Clayton County, Georgia","15611","40982",
"1400000US13063040415","Census Tract 404.15, Clayton County, Georgia","4167","33118",
"1400000US13063040416","Census Tract 404.16, Clayton County, Georgia","4238","32782",
"1400000US13063040417","Census Tract 404.17, Clayton County, Georgia","5570","38514",
"1400000US13063040509","Census Tract 405.09, Clayton County, Georgia","9850","61630",
"1400000US13063040510","Census Tract 405.10, Clayton County, Georgia","7378","39655",
"1400000US13063040512","Census Tract 405.12, Clayton County, Georgia","5289","39078",
"1400000US13063040513","Census Tract 405.13, Clayton County, Georgia","8411","62500",
"1400000US13063040514","Census Tract 405.14, Clayton County, Georgia","6113","36536",
