"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"13","Georgia","13009970300","Baldwin County, GA - 13009970300","2021","5.1%","","(4.3% - 6.1%)","4.3%","6.1%",
"13","Georgia","13009970300","Baldwin County, GA - 13009970300","2022","Low Population","","","","",
"13","Georgia","13009970301","Baldwin County, GA - 13009970301","2022","6.2%","","(5.6% - 6.9%)","5.6%","6.9%",
"13","Georgia","13009970302","Baldwin County, GA - 13009970302","2022","6.4%","","(5.8% - 7.1%)","5.8%","7.1%",
"13","Georgia","13009970400","Baldwin County, GA - 13009970400","2018","8.0%","","(7.3% - 9.0%)","7.3%","9.0%",
"13","Georgia","13009970400","Baldwin County, GA - 13009970400","2019","7.1%","","(6.4% - 8.0%)","6.4%","8.0%",
"13","Georgia","13009970400","Baldwin County, GA - 13009970400","2020","6.6%","","(5.9% - 7.4%)","5.9%","7.4%",
"13","Georgia","13009970400","Baldwin County, GA - 13009970400","2021","6.4%","","(5.4% - 7.4%)","5.4%","7.4%",
"13","Georgia","13009970400","Baldwin County, GA - 13009970400","2022","7.0%","","(6.3% - 7.7%)","6.3%","7.7%",
"13","Georgia","13009970500","Baldwin County, GA - 13009970500","2018","8.2%","","(7.4% - 9.3%)","7.4%","9.3%",
"13","Georgia","13009970500","Baldwin County, GA - 13009970500","2019","8.5%","","(7.6% - 9.7%)","7.6%","9.7%",
"13","Georgia","13009970500","Baldwin County, GA - 13009970500","2020","8.1%","","(7.3% - 9.1%)","7.3%","9.1%",
"13","Georgia","13009970500","Baldwin County, GA - 13009970500","2021","7.7%","","(6.6% - 9.0%)","6.6%","9.0%",
"13","Georgia","13009970500","Baldwin County, GA - 13009970500","2022","Low Population","","","","",
"13","Georgia","13009970501","Baldwin County, GA - 13009970501","2022","11.9%","","(10.8% - 13.3%)","10.8%","13.3%",
"13","Georgia","13009970502","Baldwin County, GA - 13009970502","2022","6.6%","","(6.0% - 7.3%)","6.0%","7.3%",
"13","Georgia","13009970600","Baldwin County, GA - 13009970600","2018","11.8%","","(10.7% - 13.1%)","10.7%","13.1%",
"13","Georgia","13009970600","Baldwin County, GA - 13009970600","2019","11.9%","","(10.9% - 13.2%)","10.9%","13.2%",
"13","Georgia","13009970600","Baldwin County, GA - 13009970600","2020","11.2%","","(10.1% - 12.4%)","10.1%","12.4%",
"13","Georgia","13009970600","Baldwin County, GA - 13009970600","2021","10.9%","","(9.4% - 12.5%)","9.4%","12.5%",
"13","Georgia","13009970600","Baldwin County, GA - 13009970600","2022","11.9%","","(10.8% - 13.0%)","10.8%","13.0%",
"13","Georgia","13009970701","Baldwin County, GA - 13009970701","2018","10.3%","","(9.7% - 11.0%)","9.7%","11.0%",
"13","Georgia","13009970701","Baldwin County, GA - 13009970701","2019","10.7%","","(10.0% - 11.4%)","10.0%","11.4%",
"13","Georgia","13009970701","Baldwin County, GA - 13009970701","2020","10.0%","","(9.1% - 10.9%)","9.1%","10.9%",
"13","Georgia","13009970701","Baldwin County, GA - 13009970701","2021","9.7%","","(8.6% - 11.1%)","8.6%","11.1%",
"13","Georgia","13009970701","Baldwin County, GA - 13009970701","2022","13.0%","","(11.8% - 14.1%)","11.8%","14.1%",
"13","Georgia","13009970702","Baldwin County, GA - 13009970702","2018","12.5%","","(11.4% - 13.6%)","11.4%","13.6%",
"13","Georgia","13009970702","Baldwin County, GA - 13009970702","2019","10.5%","","(9.5% - 11.6%)","9.5%","11.6%",
"13","Georgia","13009970702","Baldwin County, GA - 13009970702","2020","9.8%","","(8.7% - 10.9%)","8.7%","10.9%",
"13","Georgia","13009970702","Baldwin County, GA - 13009970702","2021","9.5%","","(8.1% - 11.0%)","8.1%","11.0%",
"13","Georgia","13009970702","Baldwin County, GA - 13009970702","2022","11.4%","","(10.4% - 12.4%)","10.4%","12.4%",
"13","Georgia","13009970800","Baldwin County, GA - 13009970800","2018","10.2%","","(9.3% - 11.0%)","9.3%","11.0%",
"13","Georgia","13009970800","Baldwin County, GA - 13009970800","2019","9.4%","","(8.6% - 10.1%)","8.6%","10.1%",
"13","Georgia","13009970800","Baldwin County, GA - 13009970800","2020","8.6%","","(7.9% - 9.4%)","7.9%","9.4%",
"13","Georgia","13009970800","Baldwin County, GA - 13009970800","2021","8.4%","","(7.2% - 9.7%)","7.2%","9.7%",
"13","Georgia","13009970800","Baldwin County, GA - 13009970800","2022","Low Population","","","","",
"13","Georgia","13009970801","Baldwin County, GA - 13009970801","2022","9.5%","","(8.6% - 10.4%)","8.6%","10.4%",
"13","Georgia","13009970802","Baldwin County, GA - 13009970802","2022","8.6%","","(7.8% - 9.5%)","7.8%","9.5%",
"13","Georgia","13011970100","Banks County, GA - 13011970100","2018","10.2%","","(9.5% - 11.0%)","9.5%","11.0%",
"13","Georgia","13011970100","Banks County, GA - 13011970100","2019","9.9%","","(9.2% - 10.7%)","9.2%","10.7%",
"13","Georgia","13011970100","Banks County, GA - 13011970100","2020","9.2%","","(8.3% - 10.1%)","8.3%","10.1%",
"13","Georgia","13011970100","Banks County, GA - 13011970100","2021","9.0%","","(7.7% - 10.4%)","7.7%","10.4%",
"13","Georgia","13011970100","Banks County, GA - 13011970100","2022","9.7%","","(8.7% - 10.7%)","8.7%","10.7%",
"13","Georgia","13011970200","Banks County, GA - 13011970200","2018","10.9%","","(10.1% - 11.7%)","10.1%","11.7%",
"13","Georgia","13011970200","Banks County, GA - 13011970200","2019","10.7%","","(9.9% - 11.4%)","9.9%","11.4%",
"13","Georgia","13011970200","Banks County, GA - 13011970200","2020","9.9%","","(9.0% - 10.8%)","9.0%","10.8%",
"13","Georgia","13011970200","Banks County, GA - 13011970200","2021","9.7%","","(8.4% - 11.0%)","8.4%","11.0%",
"13","Georgia","13011970200","Banks County, GA - 13011970200","2022","9.4%","","(8.5% - 10.4%)","8.5%","10.4%",
"13","Georgia","13011970300","Banks County, GA - 13011970300","2018","8.9%","","(8.3% - 9.5%)","8.3%","9.5%",
"13","Georgia","13011970300","Banks County, GA - 13011970300","2019","9.8%","","(9.1% - 10.4%)","9.1%","10.4%",
"13","Georgia","13011970300","Banks County, GA - 13011970300","2020","9.0%","","(8.2% - 9.8%)","8.2%","9.8%",
"13","Georgia","13011970300","Banks County, GA - 13011970300","2021","8.8%","","(7.6% - 10.0%)","7.6%","10.0%",
"13","Georgia","13011970300","Banks County, GA - 13011970300","2022","8.7%","","(7.8% - 9.6%)","7.8%","9.6%",
"13","Georgia","13011970400","Banks County, GA - 13011970400","2018","9.7%","","(8.6% - 10.6%)","8.6%","10.6%",
"13","Georgia","13011970400","Banks County, GA - 13011970400","2019","10.1%","","(9.0% - 11.1%)","9.0%","11.1%",
"13","Georgia","13011970400","Banks County, GA - 13011970400","2020","9.3%","","(8.3% - 10.3%)","8.3%","10.3%",
"13","Georgia","13011970400","Banks County, GA - 13011970400","2021","9.0%","","(7.6% - 10.5%)","7.6%","10.5%",
"13","Georgia","13011970400","Banks County, GA - 13011970400","2022","10.9%","","(9.8% - 12.0%)","9.8%","12.0%",
"13","Georgia","13013180103","Barrow County, GA - 13013180103","2018","6.6%","","(5.8% - 7.4%)","5.8%","7.4%",
"13","Georgia","13013180103","Barrow County, GA - 13013180103","2019","6.2%","","(5.5% - 7.0%)","5.5%","7.0%",
"13","Georgia","13013180103","Barrow County, GA - 13013180103","2020","5.5%","","(4.9% - 6.2%)","4.9%","6.2%",
"13","Georgia","13013180103","Barrow County, GA - 13013180103","2021","5.5%","","(4.6% - 6.5%)","4.6%","6.5%",
"13","Georgia","13013180103","Barrow County, GA - 13013180103","2022","7.3%","","(6.6% - 8.1%)","6.6%","8.1%",
"13","Georgia","13013180104","Barrow County, GA - 13013180104","2018","8.0%","","(7.1% - 8.9%)","7.1%","8.9%",
"13","Georgia","13013180104","Barrow County, GA - 13013180104","2019","7.8%","","(6.8% - 8.8%)","6.8%","8.8%",
"13","Georgia","13013180104","Barrow County, GA - 13013180104","2020","7.0%","","(6.0% - 7.9%)","6.0%","7.9%",
"13","Georgia","13013180104","Barrow County, GA - 13013180104","2021","6.9%","","(5.7% - 8.1%)","5.7%","8.1%",
"13","Georgia","13013180104","Barrow County, GA - 13013180104","2022","7.9%","","(7.1% - 8.7%)","7.1%","8.7%",
"13","Georgia","13013180105","Barrow County, GA - 13013180105","2018","6.8%","","(6.2% - 7.4%)","6.2%","7.4%",
"13","Georgia","13013180105","Barrow County, GA - 13013180105","2019","6.3%","","(5.8% - 6.9%)","5.8%","6.9%",
"13","Georgia","13013180105","Barrow County, GA - 13013180105","2020","5.6%","","(5.1% - 6.2%)","5.1%","6.2%",
"13","Georgia","13013180105","Barrow County, GA - 13013180105","2021","5.5%","","(4.7% - 6.4%)","4.7%","6.4%",
"13","Georgia","13013180105","Barrow County, GA - 13013180105","2022","8.2%","","(7.4% - 9.2%)","7.4%","9.2%",
"13","Georgia","13013180106","Barrow County, GA - 13013180106","2018","7.5%","","(6.6% - 8.5%)","6.6%","8.5%",
"13","Georgia","13013180106","Barrow County, GA - 13013180106","2019","8.2%","","(7.3% - 9.2%)","7.3%","9.2%",
"13","Georgia","13013180106","Barrow County, GA - 13013180106","2020","7.5%","","(6.4% - 8.6%)","6.4%","8.6%",
"13","Georgia","13013180106","Barrow County, GA - 13013180106","2021","7.3%","","(6.2% - 8.5%)","6.2%","8.5%",
"13","Georgia","13013180106","Barrow County, GA - 13013180106","2022","7.3%","","(6.6% - 8.1%)","6.6%","8.1%",
"13","Georgia","13013180107","Barrow County, GA - 13013180107","2018","8.6%","","(7.9% - 9.5%)","7.9%","9.5%",
"13","Georgia","13013180107","Barrow County, GA - 13013180107","2019","8.7%","","(8.0% - 9.5%)","8.0%","9.5%",
"13","Georgia","13013180107","Barrow County, GA - 13013180107","2020","8.0%","","(7.1% - 8.8%)","7.1%","8.8%",
"13","Georgia","13013180107","Barrow County, GA - 13013180107","2021","7.8%","","(6.7% - 9.0%)","6.7%","9.0%",
"13","Georgia","13013180107","Barrow County, GA - 13013180107","2022","7.7%","","(6.9% - 8.5%)","6.9%","8.5%",
"13","Georgia","13013180108","Barrow County, GA - 13013180108","2018","7.6%","","(6.8% - 8.3%)","6.8%","8.3%",
